,date,category,title,authors,filter_type,url,filter_value,url_hash,html_downloaded,download_error
0,1997-04-25,Press release,"""EUR"" - the new currency code for the euro",[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970425.en.html,['Central banking'],5829553839912007035,True,
1,1997-07-01,Press release,Change of presidency of the European Monetary Institute,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970701.en.html,['Central banking'],8460861082098867773,True,
2,1997-07-02,Press release,Selection and further development of the euro banknote designs,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970702_1.en.html,['Central banking'],14802581173913312225,True,
3,1997-07-02,Press release,The EMI's mandate with respect to banknotes,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970702.en.html,['Central banking'],12627879612532599931,True,
4,1997-07-02,Press release,The euro banknotes and the partially sighted,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970702_2.en.html,['Central banking'],16592026379229046180,True,
5,1997-07-02,Press release,The production and issue of banknotes in the EU member states,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970702_4.en.html,['Central banking'],3309257659797808685,True,
6,1997-07-02,Press release,The security features of the euro banknotes,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970702_3.en.html,['Central banking'],1263769624537313251,True,
7,1997-07-10,Press release,Description of the selected designs,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970710_1.en.html,['Central banking'],4463731048631201498,True,
8,1997-07-10,Press release,Further development of the euro banknote designs,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970710.en.html,['Central banking'],6554021390732858079,True,
9,1997-07-10,Press release,Selection and further development of the euro banknotes designs,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970710_2.en.html,['Central banking'],1735238211775915836,True,
10,1997-07-15,Press release,Currency symbol for the euro,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970715.en.html,['Central banking'],15825835633975409312,True,
11,1997-09-09,Press release,To the signatories of the joint statement (separate letters),[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970909.en.html,['Central banking'],8926358247404944562,True,
12,1997-09-16,Press release,Second progress report in the TARGET project,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970916.en.html,['Central banking'],7392158219994661343,True,
13,1997-09-18,Press release,List of Monetary financial institutions in the European Union,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970918.en.html,['Central banking'],13815715211866894666,True,
14,1997-09-23,Press release,The single monetary policy in Stage Three: General documentation on ESCB monetary policy instruments and procedures,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970923.en.html,['Central banking'],16845364833232929970,True,
15,1997-09-24,Press release,Publication of an information brochure by the European Monetary Institute,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr970924.en.html,['Central banking'],12954877553533598712,True,
16,1997-10-27,Press release,Publication of the EMI's up-date on legal convergence of August 1997,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr971027.en.html,['Central banking'],3748952084978030544,True,
17,1997-11-17,Press release,The date for the introduction of the euro banknotes,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr971117.en.html,['Central banking'],7772919854491171260,True,
18,1997-12-29,Press release,Addendum to the provisional list of monetary financial institutions in the european union,[],topic,https://www.ecb.europa.eu/press/pr/date/1997/html/pr971229.en.html,['Central banking'],10157642447493195783,True,
